###Table full name: PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.EBPP_ADJUSTPANCAN_ILLUMINAHISEQ_RNASEQV2_GENEXP_FILTERED
[
    normalized_count (Type: FLOAT; Sample values: ['649.975', '405.581', '1142.38', '699.417', '69.2101']; Description: Normalized gene expression)
    ret_ptc_rearrangement_genotyping_outcome_lab_results_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Free text field to specify the results of genotypic assessment of mutation in the RET/PEC gene. NCI CDE: 3179271)
    kras_mutation_codon (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: KRAS Gene Mutation Other Position)
    ldh1_mutation_found (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: ldh1 mutation found)
    lactate_dehydrogenase_result (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to represent the summary result of the medical procedure that involves testing a sample of blood for lactate dehydrogenase (LDH), to help determine a diagnosis, plan treatment, check to see if treatment is working, or monitor the disease over time. NCI CDE: 3113468)
    b_lymphocyte_genotyping_method (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The method used to perform B-Cell genotyping. NCI CDE: 3233449)
    her2_erbb_pos_finding_fluorescence_in_situ_hybridization_calculation_method_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text to describe the method used to calculate HER2/ERBB2 Fluorescence in situ Hybridization (FISH) positivity in a specimen or sample. NCI CDE: 3087929)
    b_lymphocyte_genotyping_method_1 (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The method used to perform B-Cell genotyping. NCI CDE: 3233449)
    egfr_mutation_identified (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Indicator of whether or not a mutation abnormality in the EGFR gene was identified.)
    her2_neu_chromosone_17_signal_ratio_value (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: A numeric value to represent the measurement of Her2-/neu to chromosome 17 signal in a biospecimen. NCI CDE: 2497552)
    vhl (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The text response indicating whether a germ-line mutation was identified while performing the VHL gene mutation analysis. NCI CDE: 6790146)
    metastatic_breast_carcinoma_her2_neu_chromosone_17_signal_ratio_value (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: A numeric value to represesent the measurement of Her2-/neu to chromosone 17 signal in a specimen or sample of metastatic breast carcinoma. NCI CDE: 3132903)
    metastatic_breast_carcinoma_her2_erbb_pos_finding_fluorescence_in_situ_hybridization_calculation_method_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text to describe the method used to calculate HER2/ERBB2 Fluorescence in situ Hybridization (FISH) positivity in a specimen or sample of metastatic breast carcinoma. NCI CDE: 3132910)
    result_of_immunophenotypic_analysis (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Result of immunophenotypic analysis)
    genetic_abnormality_method_other (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term that describes a genetic abnormality test method that was not previously mentioned or specified. NCI CDE: 4459355)
    immunophenotypic_analysis_methodology (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: immunophenotypic analysis methodology)
    pathologic_T (Type: TEXT; Sample values: ['[Not Applicable]', '[Not Applicable]', '[Not Applicable]', '[Not Applicable]', '[Not Applicable]']; Description: The pathologic T score is a rating of the extent of the primary tumor, based on surgery or biopsy; eg. T1, T2, T3, T4)
    eml4_alk_translocation_method (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: eml4 alk translocation method)
    clinical_T (Type: TEXT; Sample values: ['[Not Applicable]', '[Not Applicable]', '[Not Applicable]', '[Not Applicable]', '[Not Applicable]']; Description: The clinical T score is a rating of the extent of the primary tumor, based on results of tests done before surgery, such as physical exams and imaging scans; eg. T1, T2, T3, T4)
    kras_mutation_found (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: kras mutation present)
    ret (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: RET Oncogene Mutation Status.)
    her2_immunohistochemistry_level_result (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The gene that controls cell growth by making the human epidermal growth factor receptor 2, detected by immunohistochemical means and expressed as 0 through 4+. NCI CDE: 2178402)
    genetic_abnormality_method (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to classify the testing method used to determine the genetic abnormality. NCI CDE: 3234684)
    her2_neu_breast_carcinoma_copy_analysis_input_total_number (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Result of HER2 Copy Number testing (for the primary tumor), expressed as a range of values. NCI CDE: 3133738)
    ldh_norm_range_upper (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The top value of the range of statistical characteristics that are supposed to represent accepted standard, non-pathological pattern for lactate dehydrogenase (units not specified). NCI CDE: 2597015)
    number_of_loci_tested (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text number of the amount of loci found to be abnormal tested to detect recessive mutations)
    her2_neu_metastatic_breast_carcinoma_copy_analysis_input_total_number (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Result of HER2 Copy Number testing (for the metastatic tumor), expressed as a range of values NCI CDE: 3133734)
    inherited_genetic_syndrome_result (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Inherited genetic syndrome result)
    number_of_abnormal_loci (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text number of the amount of loci found to be abnormal tested to detect recessive mutations)
    immunophenotypic_analysis_test (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Immunophenotypic analysis test)
    metastatic_breast_carcinoma_progesterone_receptor_detection_method_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The free-text field to specify the method of measurement used to detect the status of the progesterone receptor (PR) in a sample of metastatic breast carcinoma, e.g., dextran coated charcoal. NCI CDE: 3131993)
    molecular_abnormality_results_other (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Additional molecular abnormality results. Null for all participants.)
    igh_genotype_results (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: igh genotype results)
    genetic_abnormality_tested_other (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to identify other genetic abnormalities not otherwise specified for which a patient was tested. NCI CDE: 3234685)
    sdha (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The text response indicating whether a mutation was identified while performing the SDHA gene mutation analysis.)
    sdhd (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The text response indicating whether a mutation was identified while performing the SDHD gene mutation analysis. NCI CDE: 6790163)
    genotype_analysis_performed_indicator (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text indicator to signify whether or not genotypic analysis was performed. NCI CDE: 3179001)
    metastatic_breast_carcinoma_erbb2_immunohistochemistry_level_result (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Result to signify the human epidermal growth factor receptor 2 intensity in a sample of metastatic breast carcinoma, detected by immunohistochemical means and expressed as 0 through 4+. NCI CDE: 3132444)
    mpnst_specific_mutations (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Mpnst specific mutations)
    genetic_abnormality_results_other (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term that describes a genetic abnormality test result that was not previously mentioned or specified. NCI CDE: 4459354)
    laboratory_prcoedure_platelet_result_lower_limit_of_normal_value (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Laboratory prcoedure platelet result lower limit of normal value)
    fluorescence_in_situ_hybridization_diagnostic_procedure_chromosome_17_signal_result_range (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Result of Chromosone 17 testing, expressed as a range of values. NCI CDE: 3104295)
    igk_genotype_results_1 (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to define the results of IgK genotype testing. NCI CDE: 3233565)
    resp_maint_from_bcg_admin_month_dur (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Resp maint from bcg admin month dur)
    ldh_level (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Information related to the result of the medical procedure that involves testing a sample of blood for lactic dehydrogenase, a family of homotetrameric cytoplasmic enzymes involved in the conversion of L-lactate and NAD to pyruvate and NADH in the final step of anaerobic glycolysis._A position on a scale measuring intensity, quality, or amount._A family of homotetrameric cytoplasmic enzymes involved in the conversion of L-lactate and NAD to pyruvate and NADH in the final step of anaerobic glycolysis. In vertebrates, genes for three different subunits (LDH-A, LDH-B and LDH-C) exist. NCI CDE: 6323378)
    sdhb (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The text response indicating whether a mutation was identified while performing the SDHB gene mutation analysis. NCI CDE: 6790161)
    pos_finding_her2_erbb2_other_measurement_scale_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text to describe a different scale used to measure HER2/ERBB2 positivity. NCI CDE: 3087479)
    ldh_lab_value (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: ldh lab value)
    laboratory_procedure_total_bilirubin_result_specified_lower_limit_of_normal_value (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Laboratory procedure total bilirubin result specified lower limit of normal value)
    her2_neu_and_centromere_17_copy_number_analysis_input_total_number_count (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Numeric value to represent the total number of Cells Counted for HER2 & Centromere 17 copy number. NCI CDE: 3087902)
    laboratory_procedure_alpha_fetoprotein_outcome_lower_limit_of_normal_value (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: A numerical quantity measured that is the bottom value of the range of statistical characteristics that are supposed to represent accepted standard, non-pathological pattern for particular laboratory result or other quantitative parameter for alpha fetoprotein (a protein normally produced by a developing fetus). NCI CDE: 3171861)
    therapeutic_mitotane_lvl_progression (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Therapeutic mitotane lvl progression)
    other_genetic_abnormality_tested (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to identify other genetic abnormalities not otherwise specified for which a patient was tested.)
    her2_neu_and_centromere_17_copy_number_metastatic_breast_carcinoma_analysis_input_total_number_count (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Numeric value to represent the total number of cells counted in a sample of metastatic breast carcinoma for HER2 & Centromere 17 copy number. NCI CDE: 3132899)
    genetic_abnormality_results (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to define the results of genetic testing. NCI CDE: 3234680)
    genetic_abnormality_tested_1 (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to identify specific genetic abnormalities for which a patient was tested. NCI CDE: 3234675)
    immunohistochemistry_positive_cell_score (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The score assigned to a sample on the basis of immunohistochemistry analysis. NCI CDE: 2230166)
    laboratory_procedure_tumor_marker_squamous_cell_carcinoma_antigen_result_value (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Numeric value to represent tumor marker Squamous Cell Carcinoma Antigen result. NCI CDE: 3151234)
    molecular_abnormality_results (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Molecular abnormality results. Null for all participants.)
    abnormality_tested_methodology (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Methodology of cytogenetic abnormality test, examples: gain, loss, translocation, etc.)
    abnormality_tested_methodology_1 (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Methodology of cytogenetic abnormality test, examples: gain, loss, translocation, etc.)
    patient_personal_medical_history_thyroid_gland_disorder_name (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to represent the name of the thyroid gland disorder, found in the record of a patient's medical background. NCI CDE: 3176743)
    lab_procedure_her2_neu_in_situ_hybrid_outcome_type (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: the type of outcome for HER2 as determined by an in situ hybridization (ISH) assay. NCI CDE: 2854089)
    surgical_procedure_name (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The name of surgical procedure. NCI CDE: 7063813)
    breast_carcinoma_primary_surgical_procedure_name (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text name of a surgical procedure performed for a person with a diagnosis of breast cancer. [Manually-curated])
    er_solid_tumor_response_documented_type (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Solid tumor response type for ER positive tumors. Null for all participants.)
    surgical_procedure_name_other_specify_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The free-text field used to describe the name assigned to a surgical procedure done for diagnostic, surveillance, treatment, palliation, or study-directed purposes. NCI CDE: 3121814)
    residual_tumor (Type: TEXT; Sample values: ['None', 'None', 'R1', 'None', 'None']; Description: Status of the tissue margin following surgical resection; eg. R0, R1, R2, RX)
    patient_id (Type: TEXT; Sample values: ['1953', '2408', '2427', '1124', '2641']; Description: Participant ID; eg. AA2W, AA2T)
    lymph_node_metastasis_radiographic_evidence (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Indicator to signify whether or not radiographic evidence exists to support the finding of lymph node metastasis. NCI CDE: 3440228)
    specimen_collection_method_name (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The type of procedure or method used to collect a biospecimen or tissue sample. NCI CDE: 3131309)
    cholangitis_tissue_evidence (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to describe the kind of evidence present in adjacent tissue related to primary sclerosing cholangitis (PSC). NCI CDE: 3916091)
    post_surgical_procedure_assessment_thyroid_gland_carcinoma_status (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to describe a person's condition within three months after surgery and adjuvant therapy to treat a thyroid gland carcinoma. NCI CDE: 3186684)
    first_degree_relative_history_thyroid_gland_carcinoma_diagnosis_relationship_type (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to describe the relationship to the participant of the first degree family member who has a history of thyroid cancer. NCI CDE: 3179002)
    mitotane_therapy_for_macroscopic_residual_disease (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Mitotane therapy for macroscopic residual disease)
    patient_history_immune_system_and_related_disorders_name (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to represent the name of immunosuppressive disease in the medical history of a patient. NCI CDE: 3151446)
    metastatic_breast_carcinoma_lab_proc_her2_neu_in_situ_hybridization_outcome_type (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The type of outcome for HER2 testing in a sample of metastatic breast carcinoma as determined by an in situ hybridization (FISH) assay. NCI CDE: 3132455)
    breast_carcinoma_surgical_procedure_name (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text name of a surgical procedure performed for a person with a diagnosis of breast cancer. [Manually-curated] NCI CDE: 2739580)
    outside_adrenal (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to describe any tumor related to the specimen that is outside of the adrenal glands. NCI CDE: 3693063)
    er_solid_tumor_response_documented_type_other (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Additional solid tumor response types for ER positive tumors. Null for all participants.)
    metastatic_breast_carcinoma_fluorescence_in_situ_hybridization_diagnostic_proc_centromere_17_signal_result_range (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Result of Centromere 17 testing in a sample or specimen of metastatic breast carcinoma, expressed as a range of values. NCI CDE: 3132887)
    extrathyroid_carcinoma_present_extension_status (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to describe the degree to which the primary tumor has extra thyroid extension. NCI CDE: 3179452)
    human_papillomavirus_laboratory_procedure_performed_name (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to represent the name of the method of human papillomavirus testing. NCI CDE: 3151457)
    sinusoid_invasion (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Sinusoid invasion)
    presence_of_sarcomatoid_features (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Presence of sarcomatoid features)
    oligonucleotide_primer_pair_laboratory_procedure_performed_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Free-text field to capture another name for the method of oligonucleotide primer pair testing that is not already specified or mentioned. NCI CDE: 3151490)
    bcr_patient_barcode (Type: TEXT; Sample values: ['TCGA-31-1953', 'TCGA-25-2408', 'TCGA-29-2427', 'TCGA-23-1124', 'TCGA-23-2641']; Description: TCGA barcode identifier for the study participant, eg TCGA-02-0001)
    prior_aids_conditions (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Prior AIDS condition.)
    project_code (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Project code; TCGA or NULL)
    preoperative_corticosteroids (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Preoperative corticosteroids)
    pathologic_tumor_width (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Numeric value for the width of the tumor as examined pathologically at the time of the surgical resection. NCI CDE: 3528041)
    cancer_diagnosis_cancer_type_icd9_text_name (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Diagnosis represented as a character short name using ICD-9 cancer types. NCI CDE: 2195089)
    eml4_alk_translocation_identified (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Indicator of whether or not a EML4-ALK chromosomal translocation was identified. NCI CDE: 6063959)
    lymph_node_location_positive_pathology_name (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to represent the name of the location of the pathologically positive lymph node. NCI CDE: 3151519)
    radiologic_tumor_width (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Numeric value for the width of the tumor reported on the computed tomography or magnetic resonance imaging immediately preceding the surgical resection. NCI CDE: 3528033)
    therapeutic_mitotane_lvl_macroscopic_residual (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Therapeutic mitotane lvl macroscopic residual)
    metastatic_neoplasm_confirmed_diagnosis_method_name (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to represent the name of the method used to establish or verify identification of a tumor that has spread from its original (primary) site of growth to another site. NCI CDE: 3178364)
    oligonucleotide_primer_pair_laboratory_procedure_performed_name (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to represent the name of the method of oligonucleotide primer pair testing. NCI CDE: 3151487)
    tumor_residual_disease (Type: TEXT; Sample values: ['None', '1-10 mm', '>20 mm', 'No Macroscopic disease', '1-10 mm']; Description: Residual disease (RD) status, 1-10 mm, >20 mm,11-20 mm)
    percent_tumor_sarcomatoid (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Percent value of tumor that is sarcomatoid in renal cell carcinoma.)
    bcr_patient_uuid (Type: TEXT; Sample values: ['61feee94-3ac9-42fe-aaa3-dc6a3efe563c', 'fdd4adb8-9295-480a-9352-305b5eb51187', '6f25001a-f890-4fd0-a994-e62a9ea5c6f3', '8a6d2ce3-cc57-451b-9b07-8263782aa23f', '49e5ee61-a1c9-4038-84ac-92683e573a65']; Description: Patient universally unique identifier, eg 180A2B9C-9CAC-4D96-86E8-CD6B3B9386B5)
    primary_thyroid_gland_neoplasm_location_anatomic_site (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to describe the specific location within the thyroid where the tumor or cancer first developed. NCI CDE: 3186750)
    neoplasm_width (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Measurement of the width of a tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues within a hollow, thick-walled, muscular organ located within the pelvic cavity of a woman. NCI CDE: 3441689)
    patient_personal_medical_history_thyroid_other_specify_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Free text field to specify the name of the thyroid gland disorder, found in the record of a patient's medical background that is not already specified or mentioned. NCI CDE: 3179397)
    disease_code (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: A code representing the type of cancer. Values can be found at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations; eg. OV, GBM, LUAD)
    tmem127 (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: tmem127)
    sdhaf2_sdh5 (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: sdhaf2 sdh5)
